"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.159158250E0,9.629437700E-4,1.478418475E-3,1.582260476E-3,2.369921962E-3
2.169075250E0,-1.091152430E-3,-3.415139858E-3,6.482899189E-4,3.643360220E-3
2.178992250E0,1.836542040E-3,1.371941529E-3,1.395201660E-3,2.683597939E-3
2.188908250E0,1.177676022E-3,1.602571458E-3,-2.455718350E-4,2.003861676E-3
2.198825250E0,-7.092207670E-4,2.955696778E-3,4.241747083E-4,3.069048994E-3
2.208742250E0,-4.940377548E-4,1.152736600E-3,-4.533367464E-4,1.333562589E-3
2.218659250E0,-1.277178526E-3,-5.732465070E-5,-1.626249985E-3,2.068613090E-3
2.228576250E0,4.987418652E-5,-2.480268711E-3,-2.293105470E-3,3.378247032E-3
2.238493250E0,-6.560739130E-4,4.050352611E-3,-1.101637026E-3,4.248457766E-3
2.248409250E0,-6.392961368E-4,4.193987697E-4,-1.777864527E-4,7.849859243E-4
2.258326250E0,-1.406339929E-3,-1.411429374E-3,-1.053835033E-3,2.253994931E-3
2.268243250E0,1.686541364E-4,1.961996546E-3,-1.805844950E-4,1.977494734E-3
2.278160250E0,-3.691455349E-4,1.379149035E-3,-6.189594278E-4,1.556094875E-3
2.288077250E0,-2.601939254E-3,2.105541062E-4,-7.393342676E-4,2.713122937E-3
2.297994250E0,-6.354730576E-4,3.064680146E-3,-2.141415607E-3,3.792327940E-3
2.307910250E0,7.355222479E-4,4.361402243E-4,-8.612340898E-4,1.213645512E-3
2.317827250E0,-7.183728740E-4,1.731761731E-4,-6.072628312E-4,9.564610390E-4
2.327744250E0,-5.913395435E-4,3.002090380E-4,-1.025937963E-4,6.710688558E-4
2.337661250E0,-3.681452945E-4,8.749470580E-4,-4.265136085E-4,1.040661891E-3
2.347578250E0,3.573000431E-4,-1.394332619E-3,1.593760331E-3,2.147533182E-3
2.357495250E0,-2.233728766E-3,3.121292917E-3,7.646798622E-5,3.838992189E-3
2.367411250E0,-1.963950694E-3,6.429553032E-4,-5.706801312E-4,2.143867921E-3
2.377328250E0,3.146428149E-3,-2.199802548E-4,-3.839854617E-4,3.177396142E-3
2.387245250E0,-1.474688761E-3,-2.788361162E-4,1.198198646E-3,1.920452165E-3
2.397162250E0,-2.385312691E-4,-1.829912653E-4,1.297480194E-3,1.331855031E-3
2.407079250E0,-1.944818534E-3,5.030166358E-5,8.867133874E-5,1.947488638E-3
2.416996250E0,-2.668935806E-3,1.741322689E-3,-1.279083313E-3,3.433872037E-3
2.426912250E0,-1.641754061E-3,-9.340889519E-4,-2.423976082E-3,3.073034106E-3
2.436829250E0,-2.499498427E-3,9.452817030E-4,1.301216194E-3,2.972240480E-3
2.446746250E0,5.391682498E-4,1.590033062E-3,-6.428915076E-4,1.797836764E-3
2.456663250E0,-3.243103623E-3,-2.552868798E-3,1.106730429E-3,4.273138479E-3
