Accelerometer Z,Smoothed Acc Z,Intensity,
10.070194,9.822896,,
9.630513,9.82822,,
9.8632145,9.816705,,
9.879965,9.824572,,
9.58146,9.820085,,
10.045668,9.819307,,
9.640682,9.826545,,
9.820144,9.81506,,
9.923036,9.823614,,
9.600603,9.819845,,
10.074382,9.815239,,
9.717253,9.821999,,
9.7812605,9.812666,,
9.984651,9.820503,,
9.610772,9.821041,,
10.04507,9.8152685,,
9.779466,9.824601,,
9.734002,9.8152685,,
10.032507,9.822626,,
9.582058,9.824362,,
9.97807,9.815687,,
9.765707,9.825258,,
9.676575,9.817871,,
10.036695,9.823075,,
9.592228,9.826216,,
9.930214,9.816614,,
9.827323,9.824511,,
9.633504,9.817602,,
10.070194,9.818021,,
9.635299,9.822388,,
9.900902,9.81138,,
9.908679,9.8216095,,
9.633504,9.816166,,
10.088738,9.8149395,,
9.673584,9.82167,,
9.853045,9.81183,,
9.937392,9.8216095,,
9.595817,9.820474,,
10.040882,9.818021,,
9.669396,9.826665,,
9.757931,9.816884,,
9.970294,9.825917,,
9.567701,9.826455,,
10.012168,9.820414,,
9.726824,9.829297,,
9.733404,9.818798,,
10.022936,9.824242,,
9.610772,9.82502,,
10.021141,9.817063,,
9.80818,9.826874,,
9.705289,9.81805,,
10.089336,9.822058,,
9.644272,9.826426,,
9.967901,9.81823,,
9.851251,9.829716,,
9.643075,9.823315,,
10.046266,9.825888,,
9.61137,9.831211,,
9.88176,9.820174,,
9.865608,9.828998,,
9.58146,9.823763,,
10.050453,9.82131,,
9.65504,9.825678,,
9.84826,9.813504,,
9.956535,9.820414,,
9.605389,9.816884,,
10.074382,9.813234,,
9.717253,9.820712,,
9.800404,9.809735,,
9.984651,9.817123,,
9.600603,9.817901,,
10.040284,9.813803,,
9.731609,9.822896,,
9.724431,9.813594,,
9.989436,9.819726,,
9.572487,9.822417,,
9.973285,9.814491,,
9.7609215,9.823823,,
9.662218,9.814791,,
10.013365,9.81808,,
9.597013,9.820803,,
9.968499,9.810722,,
9.836894,9.820533,,
9.662218,9.813146,,
10.079167,9.814521,,
9.659226,9.81841,,
9.915857,9.80812,,
9.9038925,9.817661,,
9.619745,9.813893,,
10.050453,9.815239,,
9.65504,9.823404,,
9.838689,9.812607,,
9.927821,9.822388,,
9.576674,9.820772,,
10.016953,9.817392,,
9.650253,9.824121,,
9.767502,9.812876,,
9.95175,9.819994,,
9.5868435,9.819546,,
10.040284,9.81497,,
9.760324,9.822866,,
9.752547,9.812607,,
10.032507,9.81805,,
9.629914,9.819067,,
10.01157,9.811141,,
9.793823,9.82143,,
9.690931,9.814043,,
10.046266,9.819456,,
9.610772,9.823553,,
9.958928,9.813952,,
9.812965,9.823733,,
9.633504,9.817572,,
10.036695,9.819666,,
9.597013,9.82496,,
9.858429,9.814671,,
9.856036,9.824002,,
9.619745,9.819246,,
10.060024,9.818948,,
9.668798,9.824033,,
9.84826,9.812068,,
9.955936,9.821371,,
9.629316,9.81808,,
10.074382,9.814431,,
9.735797,9.821909,,
9.805787,9.812816,,
9.980463,9.822088,,
9.595817,9.822148,,
10.040284,9.817093,,
9.712467,9.825737,,
9.7196455,9.816435,,
9.999007,9.822388,,
9.567701,9.822926,,
9.963714,9.81497,,
9.746565,9.821939,,
