"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.947427083E-1,-1.236428833E-1,8.397537231E-2,9.957443390E0,9.958565072E0
1.004659708E0,-1.327738953E-1,8.128097534E-2,9.959988098E0,9.961204667E0
1.014576708E0,-1.050814819E-1,8.562194824E-2,9.971364441E0,9.972285698E0
1.024493708E0,-1.014889526E-1,7.499404907E-2,9.974956970E0,9.975755143E0
1.034410708E0,-9.774673462E-2,8.382568359E-2,9.979447632E0,9.980278363E0
1.044327708E0,-1.064286804E-1,7.768844604E-2,9.961934052E0,9.962805459E0
1.054244708E0,-1.219963074E-1,7.499404907E-2,9.958491211E0,9.959520792E0
1.064161708E0,-1.246907043E-1,7.319778442E-2,9.960736542E0,9.961785891E0
1.074078708E0,-1.224453735E-1,8.442443848E-2,9.960736542E0,9.961846857E0
1.083995708E0,-1.145118713E-1,9.011260986E-2,9.964778137E0,9.965843495E0
1.093912292E0,-1.067280579E-1,7.963439941E-2,9.977351990E0,9.978240589E0
1.103829292E0,-1.082249451E-1,7.185058594E-2,9.965975647E0,9.966822249E0
1.113746292E0,-1.137634277E-1,8.592132568E-2,9.957293701E0,9.958314237E0
1.123663292E0,-1.178050232E-1,8.202941895E-2,9.944121094E0,9.945157172E0
1.133580292E0,-1.070274353E-1,7.798782349E-2,9.966275024E0,9.967154801E0
1.143497292E0,-1.071771240E-1,8.053253174E-2,9.975406036E0,9.976306832E0
1.153414292E0,-1.070274353E-1,8.217910767E-2,9.978399811E0,9.979312154E0
1.163331292E0,-1.112187195E-1,8.696914673E-2,9.971364441E0,9.972363915E0
1.173248292E0,-1.173559570E-1,9.774673462E-2,9.954150238E0,9.955321884E0
1.183165292E0,-1.287322998E-1,8.292755127E-2,9.946067047E0,9.947245784E0
1.193081292E0,-1.203497314E-1,7.634124756E-2,9.960586853E0,9.961606422E0
1.202998292E0,-1.016386414E-1,8.427474976E-2,9.977052612E0,9.977926211E0
1.212915292E0,-9.175918579E-2,8.427474976E-2,9.963880005E0,9.964658887E0
1.222832292E0,-1.088237000E-1,7.888595581E-2,9.970166931E0,9.971072872E0
1.232749292E0,-1.136137390E-1,7.798782349E-2,9.955946503E0,9.956900168E0
1.242666292E0,-1.311273193E-1,7.828720093E-2,9.953401794E0,9.954573348E0
1.252583292E0,-1.315763855E-1,8.487350464E-2,9.960586853E0,9.961817420E0
1.262500292E0,-1.119671631E-1,9.460327148E-2,9.968520355E0,9.969598011E0
1.272417292E0,-9.355545044E-2,8.891510010E-2,9.973759460E0,9.974594543E0
1.282334292E0,-9.175918579E-2,9.086105347E-2,9.974507904E0,9.975343774E0
1.292251292E0,-1.125659180E-1,8.352630615E-2,9.962832184E0,9.963818186E0
1.302168292E0,-1.215472412E-1,7.379653931E-2,9.953252106E0,9.954267785E0
1.312085292E0,-1.363664246E-1,7.918533325E-2,9.953401794E0,9.954650843E0
1.322002292E0,-1.187031555E-1,8.008346558E-2,9.961784363E0,9.962813433E0
1.331919292E0,-1.121168518E-1,7.574249268E-2,9.970615997E0,9.971534008E0
1.341836292E0,-1.011895752E-1,7.978408813E-2,9.968670044E0,9.969502860E0
1.351753292E0,-1.056802368E-1,8.187973022E-2,9.958042145E0,9.958939500E0
1.361670292E0,-1.215472412E-1,8.352630615E-2,9.955796814E0,9.956889101E0
1.371587292E0,-1.181044006E-1,7.723937988E-2,9.957742767E0,9.958742671E0
1.381504292E0,-1.065783691E-1,8.098159790E-2,9.958491211E0,9.959390753E0
1.391421292E0,-1.115180969E-1,7.813751221E-2,9.970017242E0,9.970947075E0
1.401338292E0,-1.130149841E-1,8.786727905E-2,9.975555725E0,9.976582835E0
1.411255292E0,-1.053808594E-1,8.158035278E-2,9.962083740E0,9.962975104E0
1.421172292E0,-1.167572021E-1,8.457412720E-2,9.955647125E0,9.956690952E0
1.431089292E0,-1.178050232E-1,8.337661743E-2,9.955647125E0,9.956693194E0
1.441006292E0,-1.109193420E-1,8.726852417E-2,9.967921600E0,9.968920700E0
1.450923292E0,-1.149609375E-1,8.532257080E-2,9.963430939E0,9.964459445E0
1.460840292E0,-1.062789917E-1,9.550140381E-2,9.975406036E0,9.976429288E0
1.470757292E0,-1.038839722E-1,8.113128662E-2,9.964628448E0,9.965500202E0
1.480674292E0,-1.107696533E-1,7.918533325E-2,9.958790588E0,9.959721393E0
1.490591292E0,-1.284329224E-1,7.963439941E-2,9.955796814E0,9.956943650E0
1.500508292E0,-1.245410156E-1,7.514373779E-2,9.954000549E0,9.955063233E0
1.510425292E0,-1.216969299E-1,7.813751221E-2,9.962383118E0,9.963432792E0
1.520342292E0,-1.077758789E-1,7.978408813E-2,9.961185608E0,9.962088127E0
1.530259292E0,-1.011895752E-1,8.951385498E-2,9.958191833E0,9.959108226E0
1.540176292E0,-1.107696533E-1,8.487350464E-2,9.977351990E0,9.978327824E0
1.550093292E0,-1.176553345E-1,8.202941895E-2,9.957742767E0,9.958775659E0
1.560010292E0,-1.210981750E-1,8.517288208E-2,9.954299927E0,9.955400857E0
1.569927292E0,-1.154100037E-1,7.259902954E-2,9.960586853E0,9.961519992E0
1.579844292E0,-1.091230774E-1,8.158035278E-2,9.965376892E0,9.966308233E0
1.589761292E0,-1.044827271E-1,8.756790161E-2,9.967173157E0,9.968105412E0
1.599678292E0,-1.041833496E-1,8.966354370E-2,9.963580627E0,9.964528721E0
1.609595292E0,-1.209484863E-1,8.262817383E-2,9.963730316E0,9.964806961E0
1.619512292E0,-1.218466187E-1,8.008346558E-2,9.964179382E0,9.965246145E0
1.629429292E0,-1.185534668E-1,9.265731812E-2,9.960586853E0,9.961723283E0
1.639346292E0,-1.170565796E-1,8.158035278E-2,9.965975647E0,9.966996950E0
1.649263292E0,-1.122665405E-1,8.337661743E-2,9.971214752E0,9.972195298E0
1.659180292E0,-1.077758789E-1,8.158035278E-2,9.955347748E0,9.956265353E0
1.669097292E0,-1.161584473E-1,7.768844604E-2,9.963430939E0,9.964410888E0
1.679014292E0,-1.152603149E-1,7.993377686E-2,9.967622223E0,9.968609087E0
1.688931292E0,-1.109193420E-1,8.741821289E-2,9.964778137E0,9.965778864E0
1.698848292E0,-1.079255676E-1,7.858657837E-2,9.959539032E0,9.960433801E0
1.708765292E0,-1.091230774E-1,8.592132568E-2,9.976753235E0,9.977719951E0
1.718682292E0,-1.176553345E-1,8.592132568E-2,9.966574402E0,9.967639167E0
1.728599292E0,-1.079255676E-1,8.981323242E-2,9.968520355E0,9.969509136E0
1.738516292E0,-1.119671631E-1,8.337661743E-2,9.974358215E0,9.975335088E0
1.748433292E0,-1.197509766E-1,8.711883545E-2,9.963730316E0,9.964830746E0
1.758350292E0,-1.163081360E-1,7.783813477E-2,9.960736542E0,9.961719671E0
1.768267292E0,-1.145118713E-1,8.083190918E-2,9.959988098E0,9.960974334E0
1.778184292E0,-1.104702759E-1,9.610015869E-2,9.966873779E0,9.967949230E0
1.788100292E0,-1.055305481E-1,9.205856323E-2,9.967173157E0,9.968156911E0
1.798017292E0,-9.699829102E-2,8.277786255E-2,9.964179382E0,9.964995314E0
1.807934292E0,-1.052311707E-1,8.173004150E-2,9.967921600E0,9.968812087E0
1.817851292E0,-1.173559570E-1,7.499404907E-2,9.963580627E0,9.964553951E0
1.827768292E0,-1.222956848E-1,7.993377686E-2,9.952952728E0,9.954024998E0
1.837685292E0,-1.145118713E-1,8.577163696E-2,9.960586853E0,9.961614337E0
