"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.132440417E-1,-2.718347168E-1,3.992198181E-1,9.889634399E0,9.901421066E0
9.231610417E-1,-2.303709412E-1,4.456233215E-1,9.950108643E0,9.962746254E0
9.330790417E-1,-8.098159790E-2,4.510121155E-1,9.752968597E0,9.763727076E0
9.429960417E-1,4.951702881E-1,1.290316772E-1,1.026385620E1,1.027660386E1
9.529140417E-1,-9.145980835E-2,3.643423462E-1,1.056173676E1,1.056841490E1
9.628310417E-1,-7.940986633E-1,6.381230164E-1,1.020038818E1,1.025113227E1
9.727480417E-1,-7.120692444E-1,7.247927856E-1,9.595645752E0,9.649289331E0
9.826660417E-1,-2.676434326E-1,5.831872559E-1,9.279054108E0,9.301214196E0
9.925830417E-1,-4.460723877E-2,3.598516846E-1,9.571545868E0,9.578411838E0
1.002500042E0,-3.118016052E-1,4.596940613E-1,9.936337280E0,9.951850954E0
1.012418042E0,-3.833528137E-1,5.266049194E-1,1.003528152E1,1.005639833E1
1.022335042E0,-4.011657715E-1,4.825964355E-1,1.013841705E1,1.015782130E1
1.032253042E0,-5.319937134E-1,3.418890381E-1,1.026684998E1,1.028630710E1
1.042170042E0,-5.264552307E-1,1.442999268E-1,1.054811508E1,1.056223032E1
1.052087042E0,-3.079096985E-1,-1.543290710E-1,1.063613205E1,1.064170714E1
1.062005042E0,-1.559756470E-1,-5.343887329E-2,9.892478485E0,9.893852369E0
1.071922042E0,-8.113128662E-2,-3.951782227E-2,9.213490448E0,9.213932395E0
1.081839042E0,2.284249878E-1,-1.166075134E-1,9.253906403E0,9.257459640E0
1.091757042E0,3.638932800E-1,1.561253357E-1,9.579928436E0,9.588108379E0
1.101674042E0,3.121009827E-1,4.420307922E-1,9.727970581E0,9.743008256E0
1.111591042E0,1.824705505E-1,5.650749207E-1,9.822124786E0,9.840057951E0
1.121509042E0,1.517843628E-1,6.777905273E-1,9.927206268E0,9.951475407E0
1.131426042E0,3.906875610E-2,9.093589783E-1,1.006177643E1,1.010286123E1
1.141344042E0,-1.669029236E-1,1.209035797E0,1.023017624E1,1.030272440E1
1.151261042E0,-4.152365112E-1,1.207688599E0,1.008737320E1,1.016789217E1
1.161178042E0,-5.337899780E-1,9.081614685E-1,1.001686981E1,1.007210851E1
1.171096042E0,-4.231700134E-1,5.285508728E-1,1.009051666E1,1.011320747E1
1.181013042E0,-1.297801208E-1,3.019221497E-1,1.016865417E1,1.017396322E1
1.190930042E0,-3.008743286E-2,3.731739807E-1,1.004486160E1,1.005183609E1
1.200848042E0,-1.019380188E-1,3.864962769E-1,9.840386810E0,9.848501577E0
1.210765042E0,-7.274871826E-2,3.546125793E-1,9.832153931E0,9.838815649E0
1.220683042E0,-6.496490479E-2,4.206253052E-1,9.852661285E0,9.861849750E0
1.230600042E0,-1.130149841E-1,5.592370605E-1,9.874815216E0,9.891283740E0
1.240517042E0,-5.224136353E-2,4.772076416E-1,1.004306534E1,1.005453220E1
1.250435042E0,-1.270857239E-1,4.643344116E-1,1.008033783E1,1.009182679E1
1.260352042E0,-2.829116821E-1,3.897894287E-1,1.002959335E1,1.004115121E1
1.270269042E0,-3.734733582E-1,4.123924255E-1,1.005743546E1,1.007281280E1
1.280187042E0,-4.128414917E-1,4.328997803E-1,1.012734009E1,1.014499175E1
1.290104042E0,-4.626878357E-1,4.695735168E-1,1.012988480E1,1.015131249E1
1.300022042E0,-5.221142578E-1,4.900808716E-1,1.019050873E1,1.021563756E1
1.309939042E0,-5.625302124E-1,5.504054260E-1,1.020308258E1,1.023339047E1
1.319856042E0,-5.225633240E-1,5.577401733E-1,1.028211823E1,1.031048504E1
1.329774042E0,-5.194198608E-1,6.200106812E-1,1.025981461E1,1.029164739E1
1.339691042E0,-4.165837097E-1,6.313870239E-1,1.001851639E1,1.004703251E1
1.349608042E0,-3.207829285E-1,6.715036011E-1,9.856253815E0,9.884308678E0
1.359526042E0,-2.863545227E-1,7.116201782E-1,9.845625916E0,9.875462109E0
